"X","year","mean_temp","max_temp","min_temp","mean_temp_1yrlag","max_temp_1yrlag","min_temp_1yrlag","mean_temp_2yrlag","max_temp_2yrlag","min_temp_2yrlag"
1,1989,14.775023015873,17.9023666666667,12.3388333333333,NA,NA,NA,NA,NA,NA
2,1990,14.9492928571429,17.6686833333333,12.49645,14.775023015873,17.9023666666667,12.3388333333333,NA,NA,NA
3,1991,14.0447073412699,16.0728333333333,12.0189166666667,14.9492928571429,17.6686833333333,12.49645,14.775023015873,17.9023666666667,12.3388333333333
4,1992,14.2736301587302,17.24705,11.4694666666667,14.0447073412699,16.0728333333333,12.0189166666667,14.9492928571429,17.6686833333333,12.49645
5,1993,14.3754703138396,17.6922829563375,11.4341638943982,14.2736301587302,17.24705,11.4694666666667,14.0447073412699,16.0728333333333,12.0189166666667
6,1994,13.9075501082175,17.0920842881551,11.3052792929849,14.3754703138396,17.6922829563375,11.4341638943982,14.2736301587302,17.24705,11.4694666666667
7,1995,13.6166983179732,17.0661422863411,11.4573418138403,13.9075501082175,17.0920842881551,11.3052792929849,14.3754703138396,17.6922829563375,11.4341638943982
8,1996,13.3991444749467,15.7080693712483,12.022607719055,13.6166983179732,17.0661422863411,11.4573418138403,13.9075501082175,17.0920842881551,11.3052792929849
9,1997,13.9492241136244,16.820239732054,11.7100390505924,13.3991444749467,15.7080693712483,12.022607719055,13.6166983179732,17.0661422863411,11.4573418138403
10,1998,14.2621339163152,17.7466231969514,11.8831123772832,13.9492241136244,16.820239732054,11.7100390505924,13.3991444749467,15.7080693712483,12.022607719055
11,1999,14.7868172798351,18.1423655747325,12.635542035113,14.2621339163152,17.7466231969514,11.8831123772832,13.9492241136244,16.820239732054,11.7100390505924
12,2000,14.8527511993328,17.6309222105542,12.2325086784902,14.7868172798351,18.1423655747325,12.635542035113,14.2621339163152,17.7466231969514,11.8831123772832
13,2001,15.047484617163,18.148871094996,12.940926984143,14.8527511993328,17.6309222105542,12.2325086784902,14.7868172798351,18.1423655747325,12.635542035113
14,2002,14.6886055678153,17.3392622357266,12.3641294318045,15.047484617163,18.148871094996,12.940926984143,14.8527511993328,17.6309222105542,12.2325086784902
15,2003,14.919765033357,18.5072163528324,11.8955056113634,14.6886055678153,17.3392622357266,12.3641294318045,15.047484617163,18.148871094996,12.940926984143
16,2004,14.2845670550181,17.6797686159022,11.6827343816329,14.919765033357,18.5072163528324,11.8955056113634,14.6886055678153,17.3392622357266,12.3641294318045
17,2005,14.4838098959276,16.7717985470442,12.5522036357072,14.2845670550181,17.6797686159022,11.6827343816329,14.919765033357,18.5072163528324,11.8955056113634
18,2006,14.2218801730127,17.6424257315712,11.7417041036533,14.4838098959276,16.7717985470442,12.5522036357072,14.2845670550181,17.6797686159022,11.6827343816329
19,2007,15.1790816771945,18.7369822026429,12.6523823375776,14.2218801730127,17.6424257315712,11.7417041036533,14.4838098959276,16.7717985470442,12.5522036357072
20,2008,14.4451878258411,17.7269484464789,12.013315417867,15.1790816771945,18.7369822026429,12.6523823375776,14.2218801730127,17.6424257315712,11.7417041036533
21,2009,14.5631511392423,16.8190145648281,12.4864877984896,14.4451878258411,17.7269484464789,12.013315417867,15.1790816771945,18.7369822026429,12.6523823375776
22,2010,14.8211090773979,18.6694424151043,12.1961366518921,14.5631511392423,16.8190145648281,12.4864877984896,14.4451878258411,17.7269484464789,12.013315417867
23,2011,14.3656084274413,17.04752633214,12.3014267268088,14.8211090773979,18.6694424151043,12.1961366518921,14.5631511392423,16.8190145648281,12.4864877984896
24,2012,14.7442177288196,18.1284875155978,12.19830232867,14.3656084274413,17.04752633214,12.3014267268088,14.8211090773979,18.6694424151043,12.1961366518921
25,2013,15.0053454690812,17.7794024231547,13.0915802406194,14.7442177288196,18.1284875155978,12.19830232867,14.3656084274413,17.04752633214,12.3014267268088
26,2014,14.9332585941332,17.7756710980119,13.0703984624051,15.0053454690812,17.7794024231547,13.0915802406194,14.7442177288196,18.1284875155978,12.19830232867
27,2015,14.8256881531507,17.8906757805106,11.806657120288,14.9332585941332,17.7756710980119,13.0703984624051,15.0053454690812,17.7794024231547,13.0915802406194
28,2016,15.3279503571727,19.4805688196781,12.3530278103799,14.8256881531507,17.8906757805106,11.806657120288,14.9332585941332,17.7756710980119,13.0703984624051
29,2017,14.9860492325262,17.6926578005574,12.006010923469,15.3279503571727,19.4805688196781,12.3530278103799,14.8256881531507,17.8906757805106,11.806657120288
30,2018,15.122689323477,18.5736093850178,12.2884732176927,14.9860492325262,17.6926578005574,12.006010923469,15.3279503571727,19.4805688196781,12.3530278103799
31,2019,14.6606371906794,18.0773326385587,12.1202402082576,15.122689323477,18.5736093850178,12.2884732176927,14.9860492325262,17.6926578005574,12.006010923469
32,2020,14.6622096003342,17.0462671649787,12.501459194024,14.6606371906794,18.0773326385587,12.1202402082576,15.122689323477,18.5736093850178,12.2884732176927
33,2021,15.0166119935799,17.6896654429381,12.5370555402131,14.6622096003342,17.0462671649787,12.501459194024,14.6606371906794,18.0773326385587,12.1202402082576
34,2022,14.9796630159014,18.5681261763761,12.209557925791,15.0166119935799,17.6896654429381,12.5370555402131,14.6622096003342,17.0462671649787,12.501459194024
35,2023,17.1891941453502,17.5517141854137,16.5691065850364,14.9796630159014,18.5681261763761,12.209557925791,15.0166119935799,17.6896654429381,12.5370555402131
36,2024,NA,NA,NA,17.1891941453502,17.5517141854137,16.5691065850364,14.9796630159014,18.5681261763761,12.209557925791
37,2025,NA,NA,NA,NA,NA,NA,17.1891941453502,17.5517141854137,16.5691065850364
