"year","month","Nitrate_umolL","Silicate_umolL","Salinity","X","mean_temp","max_temp","min_temp","mean_temp_1yrlag","max_temp_1yrlag","min_temp_1yrlag","mean_temp_2yrlag","max_temp_2yrlag","min_temp_2yrlag","PC1","PC2","PC3","PC1_1yrlag","PC2_1yrlag","PC3_1yrlag","PC1_2yrlag","PC2_2yrlag","PC3_2yrlag"
1989,1,0.25153926046293,1.64856125106104,35.2700940018034,1,14.775023015873,17.9023666666667,12.3388333333333,NA,NA,NA,NA,NA,NA,-0.0574842998354438,0.126472309149653,0.946033653891476,NA,NA,NA,NA,NA,NA
1990,1,1.10451660032808,1.52051913055625,35.2661073173093,2,14.9492928571429,17.6686833333333,12.49645,14.775023015873,17.9023666666667,12.3388333333333,NA,NA,NA,-0.0388517318324863,-0.897084671583626,0.240531755625148,-0.0574842998354438,0.126472309149653,0.946033653891476,NA,NA,NA
1991,1,1.24190893031901,1.46268934144808,35.2595177599867,3,14.0447073412699,16.0728333333333,12.0189166666667,14.9492928571429,17.6686833333333,12.49645,14.775023015873,17.9023666666667,12.3388333333333,1.86561153889218,-0.492196253865327,-0.892103254035108,-0.0388517318324863,-0.897084671583626,0.240531755625148,-0.0574842998354438,0.126472309149653,0.946033653891476
1992,1,1.28282069752069,1.49751196871728,35.215793999207,4,14.2736301587302,17.24705,11.4694666666667,14.0447073412699,16.0728333333333,12.0189166666667,14.9492928571429,17.6686833333333,12.49645,1.65380449691842,-0.636157265424927,0.45263223326469,1.86561153889218,-0.492196253865327,-0.892103254035108,-0.0388517318324863,-0.897084671583626,0.240531755625148
1993,1,1.26846406665091,1.41292153787416,35.1908702947328,5,14.3754703138396,17.6922829563375,11.4341638943982,14.2736301587302,17.24705,11.4694666666667,14.0447073412699,16.0728333333333,12.0189166666667,1.44622886437462,-0.511200872210016,0.748424373724565,1.65380449691842,-0.636157265424927,0.45263223326469,1.86561153889218,-0.492196253865327,-0.892103254035108
1994,1,0.912969170667838,1.29711364740753,35.1662041722202,6,13.9075501082175,17.0920842881551,11.3052792929849,14.3754703138396,17.6922829563375,11.4341638943982,14.2736301587302,17.24705,11.4694666666667,2.22354028432219,0.413164007103599,0.2862272524142,1.44622886437462,-0.511200872210016,0.748424373724565,1.65380449691842,-0.636157265424927,0.45263223326469
1995,1,1.58131611349845,1.38044381038142,35.1034930728255,7,13.6166983179732,17.0661422863411,11.4573418138403,13.9075501082175,17.0920842881551,11.3052792929849,14.3754703138396,17.6922829563375,11.4341638943982,3.01178799721855,-0.527022227368083,-0.0663079523616145,2.22354028432219,0.413164007103599,0.2862272524142,1.44622886437462,-0.511200872210016,0.748424373724565
1996,1,1.75172499250609,1.39762417278429,35.0716353896059,8,13.3991444749467,15.7080693712483,12.022607719055,13.6166983179732,17.0661422863411,11.4573418138403,13.9075501082175,17.0920842881551,11.3052792929849,3.83127563036743,-0.698598314311695,-1.79853330737978,3.01178799721855,-0.527022227368083,-0.0663079523616145,2.22354028432219,0.413164007103599,0.2862272524142
1997,1,0.966295472631355,1.32659078377384,35.1093046331631,9,13.9492241136244,16.820239732054,11.7100390505924,13.3991444749467,15.7080693712483,12.022607719055,13.6166983179732,17.0661422863411,11.4573418138403,2.47898660753162,0.269037612896711,-0.380467797913098,3.83127563036743,-0.698598314311695,-1.79853330737978,3.01178799721855,-0.527022227368083,-0.0663079523616145
1998,1,1.17103030407868,1.27084118651818,35.1649474232502,10,14.2621339163152,17.7466231969514,11.8831123772832,13.9492241136244,16.820239732054,11.7100390505924,13.3991444749467,15.7080693712483,12.022607719055,1.323059744795,-0.156933872838136,0.356153922483167,2.47898660753162,0.269037612896711,-0.380467797913098,3.83127563036743,-0.698598314311695,-1.79853330737978
