"year","site_code","survey_id","Trachinops caudimaculatus","Tosia australis","Haliotis rubra","Jasus edwardsii","region","PC1","PC2","PC1_1yrlag","PC1_2yrlag","PC2_1yrlag","PC2_2yrlag","isite","year2","iregion"
1992,"MIR-S1",812303061,2,0,19,1,"Maria-reserve",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,1,1992,1
1992,"MIR-S1",812303062,0,0,10,0,"Maria-reserve",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,1,1992,1
1992,"MIR-S1",812303063,35,0,37,0,"Maria-reserve",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,1,1992,1
1992,"MIR-S1",812303064,0,0,39,0,"Maria-reserve",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,1,1992,1
1992,"MIR-S1",812303071,0,0,10,0,"Maria-reserve",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,1,1992,1
1992,"MIR-S1",812303072,0,0,10,3,"Maria-reserve",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,1,1992,1
1992,"MIR-S1",812303073,0,0,10,0,"Maria-reserve",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,1,1992,1
1992,"MIR-S1",812303074,0,0,10,0,"Maria-reserve",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,1,1992,1
1992,"MIR-S10",812302961,82,0,1,2,"Reference-other",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,2,1992,4
1992,"MIR-S10",812302962,85,1,1,3,"Reference-other",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,2,1992,4
1992,"MIR-S10",812302963,44,0,2,1,"Reference-other",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,2,1992,4
1992,"MIR-S10",812302964,5,1,6,2,"Reference-other",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,2,1992,4
1992,"MIR-S10",812302971,0,0,6,3,"Reference-other",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,2,1992,4
1992,"MIR-S10",812302972,6,2,4,3,"Reference-other",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,2,1992,4
1992,"MIR-S10",812302973,6,1,2,1,"Reference-other",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,2,1992,4
1992,"MIR-S10",812302974,53,0,1,3,"Reference-other",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,2,1992,4
1992,"MIR-S11",812302791,0,0,1,0,"Reference-north",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,3,1992,3
1992,"MIR-S11",812302792,0,0,2,0,"Reference-north",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,3,1992,3
1992,"MIR-S11",812302793,0,0,1,1,"Reference-north",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,3,1992,3
1992,"MIR-S11",812302794,22,0,0,1,"Reference-north",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,3,1992,3
1992,"MIR-S11",812302801,1,0,1,0,"Reference-north",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,3,1992,3
1992,"MIR-S11",812302802,1,0,0,1,"Reference-north",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,3,1992,3
1992,"MIR-S11",812302803,0,0,0,1,"Reference-north",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,3,1992,3
1992,"MIR-S11",812302804,0,0,0,5,"Reference-north",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,3,1992,3
1992,"MIR-S12",812303521,0,8,3,0,"Reference-mainland",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,4,1992,2
1992,"MIR-S12",812303522,0,4,3,0,"Reference-mainland",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,4,1992,2
1992,"MIR-S12",812303523,1,10,5,1,"Reference-mainland",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,4,1992,2
1992,"MIR-S12",812303524,0,8,6,0,"Reference-mainland",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,4,1992,2
1992,"MIR-S12",812303531,0,10,5,1,"Reference-mainland",1.65380449691842,-0.636157265424927,1.86561153889218,-0.0388517318324863,-0.492196253865327,-0.897084671583626,4,1992,2
